artist,hotttnesss
Bastian Baker,0.700176
Kurt Vile,0.700139
Edward Maya,0.700011
Tyga,0.699852
Bette Midler,0.699583
K. Michelle,0.699475
Yolanda Be Cool,0.699415
Don Omar,0.699168
Route 94,0.699164
257ers,0.699063
MGMT,0.698829
Tina Arena,0.698819
Justin Moore,0.698787
Lata Mangeshkar,0.698539
Crystal Kay,0.698413
GTA,0.698308
Ryn Weaver,0.698189
Glee Cast,0.698079
백아연,0.697855
Elina Born,0.697317
Imran Khan,0.697255
Roger Waters,0.69717
Joris,0.696934
Paulina Rubio,0.696722
Rohff,0.696611
Reykon,0.696593
Paul van Dyk,0.696564
Zion T,0.696548
K3,0.696477
Dean Martin,0.696352
Giusy Ferreri,0.69627
Iyeoka,0.696267
Flight Facilities,0.696251
Red Foo,0.696121
張敬軒,0.696109
Marlon Roudette,0.69594
Gülşen,0.695925
Indila,0.69579
Scandal,0.695736
Sarah McLachlan,0.695387
Martin Tungevaag,0.695368
Ricardo Arjona,0.695355
The Prodigy,0.695312
Nate Ruess,0.695261
The Dead Weather,0.695105
Richard Clayderman,0.695013
SEKAI NO OWARI,0.695002
Hooverphonic,0.694911
Don Henley,0.69475
Miguel,0.694743
T.I.,0.694736
B1A4,0.694723
Brigitte,0.694576
麥浚龍,0.694569
X JAPAN,0.694515
Basto!,0.694511
Emma,0.69448
SebastiAn,0.694342
Ikon,0.694307
SBTRKT,0.694289
KANA-BOON,0.694243
The White Stripes,0.694191
Hermitude,0.694154
The Black Keys,0.693907
Kings of Leon,0.693904
Tinie Tempah,0.693879
JVG,0.693793
The Killers,0.693783
Amaral,0.69373
Anna Vissi,0.693701
Silento,0.693576
Matoma,0.693542
Swanky Tunes,0.693258
Lisa Nilsson,0.693206
Ёлка,0.693101
Aydilge,0.693042
Gusttavo Lima,0.693029
Philipp Dittberner,0.692996
Paty Cantú,0.692905
Sandra Lyng,0.692873
Andrés Cepeda,0.692799
Parov Stelar,0.692695
The Smashing Pumpkins,0.692427
James,0.692351
Frank Ocean,0.692292
Take That,0.692162
Kid Ink,0.691981
Laidback Luke,0.691821
Chris Malinchak,0.691719
Banks,0.691605
Hande Yener,0.691593
Pop Evil,0.691541
Darude,0.691506
Accept,0.691358
Lacrimosa,0.691291
那英,0.691256
Charly Black,0.69113
Malika Ayane,0.69092
John Williams,0.690795
Les Cowboys Fringants,0.690785
星野源,0.690784
Freddie Gibbs,0.690626
Trans-Siberian Orchestra,0.690623
The Borns,0.690567
Jessie Ware,0.690542
Tommy Trash,0.690422
Priyanka Chopra,0.690285
박재범,0.690172
Mac Tyer,0.690122
Claptone,0.690077
Mild,0.689902
Andreas Gabalier,0.68967
Garth Brooks,0.689637
Sean Paul,0.689592
Mapei,0.689495
Los Inquietos del Norte,0.689413
DJ Polique,0.689404
Joan Sebastian,0.689358
Labanoon,0.689341
Fababy,0.689276
Jay Hardway,0.689205
Travie McCoy,0.689093
王力宏,0.689072
Dotan,0.689011
Sabina Ddumba,0.688916
Rae Sremmurd,0.688619
Dream,0.688478
Vasco Rossi,0.68835
Amy Macdonald,0.688301
Francesco De Gregori,0.688097
Louis Armstrong,0.687757
サザンオールスターズ,0.687724
KEEN' V,0.687706
Alpa Gun,0.687618
Chris Rea,0.687556
Philip George,0.687515
Cats on Trees,0.687453
Owl City,0.687343
Christina Aguilera,0.687294
Tool,0.687272
Simply Red,0.687089
Asha Bhosle,0.687043
Avril Lavigne,0.686928
Ariane Moffatt,0.686878
Taeyeon,0.686756
Luca Carboni,0.686516
아이유 (IU),0.686503
The Strypes,0.686415
LE YOUTH,0.686329
Beirut,0.686245
The Fratellis,0.686068
Grace,0.686049
Diana Krall,0.685952
Bunbury,0.685883
Gavin James,0.685857
Gogol Bordello,0.685814
Sophie,0.685806
LUNA SEA,0.685732
Belle and Sebastian,0.685629
Mute Math,0.685621
Gigi D'Agostino,0.685501
Deafheaven,0.685476
Dallas Smith,0.685372
RY X,0.68503
Lapsley,0.684904
Francesca Michielin,0.684863
Delta Goodrem,0.684752
Ms Mr,0.684692
Bliss n Eso,0.68467
Mustafa Ceceli,0.684659
Adnan Sami,0.684462
Sheryl Crow,0.684298
Баста,0.68425
Talib Kweli,0.684174
back number,0.684152
Cam,0.684046
Editors,0.683956
KK,0.683927
Miles Davis,0.6839
Sebastian Ingrosso,0.683843
seth sentry,0.683795
The BossHoss,0.683712
Jauz,0.683652
蔡健雅,0.683644
Ibeyi,0.683626
Carlos Baute,0.683544
Walking On Cars,0.683504
Maria Mena,0.683368
Emma Louise,0.683346
Manuel Medrano,0.683273
H2O,0.683255
Trey Songz,0.683198
Jeezy,0.683093
Kongsted,0.682961
The Struts,0.682807
The Cure,0.6827
Sinéad O'Connor,0.682512
Tritonal,0.682445
Fettes Brot,0.682419
Maldita Nerea,0.68241
Sander van Doorn,0.682402
Redman,0.682388
Berkay,0.682286
Jessica Mauboy,0.682229
Egoist,0.682119
Anselmo Ralph,0.6821
Block B,0.682026
Sunidhi Chauhan,0.68201
Bob Sinclar,0.681972
Dengaz,0.681933
M. Pokora,0.681881
Les soeurs Boulay,0.68177
KATO,0.681753
Marama,0.681704
Apashe,0.681657
Filous,0.681471
Chuckie,0.681418
The Gift,0.681391
Los Huracanes del Norte,0.681336
Shankar Mahadevan,0.681137
Gianna Nannini,0.681131
Dorian,0.681071
Katie Melua,0.681066
Parmalee,0.68106
tobyMac,0.681031
GLAY,0.680996
Black Coffee,0.680846
Ingebjørg Bratland,0.68065
Cali,0.680595
Ylvis,0.680405
VIXX,0.680401
